"trawl","serial","date","week","j.day","station","group","species","taxa.group","n.counted","n.jar","density.l","n.measured","mean.indiv.dry.wt.ug","sd.indiv.dry.wt.ug","mean.indiv.length.mm","sd.indiv.length.mm","biomass.dry.wt.ugL"
1,800,2018-05-14,20,134,139,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Calanoid copepodid","Calanoid",4,142.857142857143,0.0129154638289442,4,2.85193201804442,1.52833049695924,0.670775,0.138226200483121,0.0368340248216607
1,800,2018-05-14,20,134,139,"Outer","Cyclopoid copepodid","Cyclopoid",1,35.7142857142857,0.00322886595723606,1,1.3044881741479,NA,0.4951,NA,0.00421201745712317
1,800,2018-05-14,20,134,139,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Diacyclops","Cyclopoid",3,107.142857142857,0.00968659787170818,3,5.65053858485216,1.22469798470801,0.9086,0.0804720448354582,0.0547344950300339
1,800,2018-05-14,20,134,139,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Leptodiaptomus","Calanoid",20,714.285714285714,0.0645773191447212,20,12.3662468849159,3.06439276838029,1.254495,0.133371816935332,0.798579071709628
1,800,2018-05-14,20,134,139,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
1,800,2018-05-14,20,134,139,"Outer","Nauplii","Immature",481,17178.5714285714,1.55308452543054,31,0.053378499618102,0.0254577866424248,0.127224137931034,0.0258471697148065,0.0829013217475744
2,802,2018-05-14,20,134,525,"Outer","Bosmina","Cladoceran",2,100,0.0197516106071943,2,0.832512249200163,0.00945455873221185,0.3407,0.0012727922061358,0.0164434577719212
2,802,2018-05-14,20,134,525,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
